City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Albany,US,42.6001,-73.9662,85.23,52,39,3.0,scattered clouds
1,Dharchula,IN,29.85,80.5333,68.22,60,23,5.08,few clouds
2,Saint-Philippe,RE,-21.3585,55.7679,67.59,69,1,5.79,clear sky
3,Sechura,PE,-5.5569,-80.8222,77.18,60,31,14.25,scattered clouds
4,Bluff,NZ,-46.6,168.3333,52.81,91,85,11.63,light rain
5,Punta Arenas,CL,-53.15,-70.9167,46.51,61,20,10.36,few clouds
6,Sept-Iles,CA,50.2001,-66.3821,47.05,84,100,8.05,overcast clouds
7,Saskylakh,RU,71.9167,114.0833,2.32,100,83,4.56,broken clouds
8,Faya,SA,18.3851,42.4509,73.92,19,1,12.39,clear sky
9,Kapaa,US,22.0752,-159.319,79.12,76,40,13.8,scattered clouds
10,Abnub,EG,27.2696,31.1511,88.02,14,10,9.93,clear sky
11,Ngaoundere,CM,7.3167,13.5833,66.15,95,100,4.52,light rain
12,Sao Filipe,CV,14.8961,-24.4956,75.13,70,7,9.78,clear sky
13,Provideniya,RU,64.3833,-173.3,38.03,54,1,5.08,clear sky
14,Komsomolskiy,UZ,40.4272,71.7189,66.92,59,83,2.3,broken clouds
15,Ler,SS,8.3018,30.1418,77.92,76,100,5.5,light rain
16,Ushuaia,AR,-54.8,-68.3,44.22,100,75,2.3,broken clouds
17,Sola,VU,-13.8833,167.55,80.4,75,98,23.6,light rain
18,Mayskiy,RU,47.6931,40.1025,58.41,84,100,11.39,overcast clouds
19,Rikitea,PF,-23.1203,-134.9692,77.61,73,99,19.48,overcast clouds
20,San Patricio,US,28.017,-97.5169,93.16,43,3,15.95,clear sky
21,Tuktoyaktuk,CA,69.4541,-133.0374,32.0,93,100,14.97,light rain
22,Hilo,US,19.7297,-155.09,82.27,72,0,8.99,clear sky
23,Atuona,PF,-9.8,-139.0333,78.75,67,84,20.31,broken clouds
24,Avarua,CK,-21.2078,-159.775,80.65,89,100,10.36,overcast clouds
25,Port Alfred,ZA,-33.5906,26.891,58.17,87,49,1.01,scattered clouds
26,Hella,NO,67.2,14.4333,46.76,82,75,11.5,light intensity drizzle
27,Aswan,EG,24.0934,32.907,101.5,9,0,5.75,clear sky
28,Huittinen,FI,61.1833,22.7,42.39,69,4,4.45,clear sky
29,Rio Verde De Mato Grosso,BR,-18.9181,-54.8442,89.42,35,27,4.09,scattered clouds
30,Beloha,MG,-25.1667,45.05,65.64,85,0,9.98,clear sky
31,Winnemucca,US,40.973,-117.7357,60.85,25,0,11.5,clear sky
32,Kodiak,US,57.79,-152.4072,49.51,37,0,23.02,clear sky
33,Osakarovka,KZ,50.565,72.5692,59.5,36,78,3.33,broken clouds
34,Boyabat,TR,41.4689,34.7667,59.52,68,0,1.05,clear sky
35,Cape Town,ZA,-33.9258,18.4232,60.12,88,75,5.75,broken clouds
36,Sinnar,SD,13.5691,33.5672,98.62,22,0,4.45,clear sky
37,Puerto Ayora,EC,-0.7393,-90.3518,82.36,90,94,4.0,overcast clouds
38,Pacific Grove,US,36.6177,-121.9166,75.34,61,0,14.0,clear sky
39,Baykit,RU,61.67,96.37,43.77,82,29,0.27,scattered clouds
40,Pindiga,NG,9.9833,10.9333,80.33,59,100,15.08,light rain
41,Nyurba,RU,63.2842,118.3319,26.15,88,13,6.58,few clouds
42,Praia Da Vitoria,PT,38.7333,-27.0667,61.75,94,75,7.78,light rain
43,Marsh Harbour,BS,26.5412,-77.0636,77.85,72,99,9.6,moderate rain
44,Ilulissat,GL,69.2167,-51.1,24.82,68,75,10.36,broken clouds
45,Okhotsk,RU,59.3833,143.3,32.79,97,100,10.96,light snow
46,Huarmey,PE,-10.0681,-78.1522,69.98,74,44,9.06,scattered clouds
47,Avera,US,33.194,-82.5271,76.37,64,96,11.25,light rain
