City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Avarua,CK,2022-05-12 21:22:04,-21.2078,-159.775,82.45,89,75,5.75
1,Nkowakowa,ZA,2022-05-12 21:22:05,-23.8878,30.2871,63.57,74,1,3.85
2,Busselton,AU,2022-05-12 21:22:06,-33.65,115.3333,56.23,73,95,20.09
3,Jumla,NP,2022-05-12 21:22:06,29.2747,82.1838,56.05,89,43,3.83
4,Sinnamary,GF,2022-05-12 21:22:07,5.3833,-52.95,79.12,85,9,12.19
5,Lamu,KE,2022-05-12 21:22:07,-2.2717,40.902,80.51,75,17,15.79
6,Butaritari,KI,2022-05-12 21:16:22,3.0707,172.7902,81.39,77,100,18.14
7,Tiksi,RU,2022-05-12 21:22:08,71.6872,128.8694,14.31,88,10,9.26
8,Hearst,CA,2022-05-12 21:22:09,49.6835,-83.6665,59.25,97,100,6.44
9,Powell River,CA,2022-05-12 21:22:09,49.8496,-124.5361,48.07,93,100,5.75
10,Arraial Do Cabo,BR,2022-05-12 21:22:10,-22.9661,-42.0278,75.06,73,75,6.91
11,Champerico,GT,2022-05-12 21:22:11,14.3,-91.9167,87.22,63,3,9.13
12,Saskylakh,RU,2022-05-12 21:16:22,71.9167,114.0833,11.23,92,58,14.12
13,Rawson,AR,2022-05-12 21:22:11,-43.3002,-65.1023,56.41,74,100,26.89
14,Yarke Pole,UA,2022-05-12 21:22:12,45.608,34.3172,52.93,64,2,12.24
15,Rikitea,PF,2022-05-12 21:16:06,-23.1203,-134.9692,77.4,75,10,20.11
16,Albany,US,2022-05-12 21:20:03,42.6001,-73.9662,86.63,38,14,3.62
17,Ushuaia,AR,2022-05-12 21:13:54,-54.8,-68.3,42.46,100,75,3.44
18,Beringovskiy,RU,2022-05-12 21:22:13,63.05,179.3167,37.63,73,28,4.72
19,Punta Arenas,CL,2022-05-12 21:16:21,-53.15,-70.9167,44.11,81,40,10.36
20,Atuona,PF,2022-05-12 21:20:00,-9.8,-139.0333,79.07,77,12,23.29
21,Kapaa,US,2022-05-12 21:16:09,22.0752,-159.319,80.58,79,75,17.27
22,Hilo,US,2022-05-12 21:11:50,19.7297,-155.09,85.28,72,40,12.66
23,Tauranga,NZ,2022-05-12 21:22:15,-37.6861,176.1667,55.92,59,15,1.99
24,Alice Springs,AU,2022-05-12 21:22:15,-23.7,133.8833,42.35,75,38,0.0
25,Verkhnyaya Inta,RU,2022-05-12 21:22:16,65.9811,60.3094,42.44,85,78,11.12
26,Adrar,MR,2022-05-12 21:22:16,20.5022,-10.0711,92.61,11,2,9.19
27,Coolum Beach,AU,2022-05-12 21:22:17,-26.5333,153.1,73.11,98,100,15.99
28,Ust-Omchug,RU,2022-05-12 21:22:18,61.15,149.6333,30.99,83,65,1.16
29,Georgetown,MY,2022-05-12 21:22:03,5.4112,100.3354,80.53,93,40,3.44
30,Torbay,CA,2022-05-12 21:22:18,47.6666,-52.7314,51.76,74,75,18.41
31,Pevek,RU,2022-05-12 21:22:19,69.7008,170.3133,20.52,92,98,15.48
32,Aklavik,CA,2022-05-12 21:22:19,68.2191,-135.0107,50.0,50,75,8.05
33,Cape Town,ZA,2022-05-12 21:20:37,-33.9258,18.4232,61.11,80,75,14.97
34,Brae,GB,2022-05-12 21:22:20,60.3964,-1.353,47.71,87,100,22.06
35,Buala,SB,2022-05-12 21:22:21,-8.145,159.5921,81.28,77,87,1.54
36,Valverde Del Camino,ES,2022-05-12 21:22:22,37.5751,-6.7543,69.03,59,4,2.21
37,Inongo,CD,2022-05-12 21:22:22,-1.95,18.2667,72.07,95,77,4.47
38,Bluff,NZ,2022-05-12 21:22:23,-46.6,168.3333,48.79,81,100,10.47
39,Baruun-Urt,MN,2022-05-12 21:22:23,46.6806,113.2792,35.29,80,100,15.28
40,Camacha,PT,2022-05-12 21:22:24,33.0833,-16.3333,62.02,82,20,14.97
41,Wang Saphung,TH,2022-05-12 21:22:25,17.301,101.7685,77.74,85,100,2.73
42,Mahebourg,MU,2022-05-12 21:22:25,-20.4081,57.7,73.69,88,40,5.75
43,Castro,BR,2022-05-12 21:16:11,-24.7911,-50.0119,57.6,87,2,2.91
44,Tecoanapa,MX,2022-05-12 21:21:20,16.5167,-98.75,89.28,60,8,13.67
45,Tuktoyaktuk,CA,2022-05-12 21:16:14,69.4541,-133.0374,46.4,53,75,11.5
46,Tomatlan,MX,2022-05-12 21:22:26,19.9333,-105.25,94.91,27,50,11.34
47,Sao Filipe,CV,2022-05-12 21:22:27,14.8961,-24.4956,75.27,73,65,10.25
48,Nikolskoye,RU,2022-05-12 21:22:27,59.7035,30.7861,48.87,85,100,11.7
49,Salalah,OM,2022-05-12 21:16:20,17.0151,54.0924,86.09,51,0,3.44
50,Sault Sainte Marie,CA,2022-05-12 21:20:58,46.5168,-84.3333,84.76,37,100,9.22
51,Vostok,RU,2022-05-12 21:18:25,46.4856,135.8833,43.88,69,99,1.99
52,New Norfolk,AU,2022-05-12 21:22:29,-42.7826,147.0587,48.65,90,24,2.15
53,Hermanus,ZA,2022-05-12 21:22:29,-34.4187,19.2345,61.81,73,10,12.08
54,Mount Isa,AU,2022-05-12 21:22:30,-20.7333,139.5,55.17,100,25,0.0
55,Frontera,MX,2022-05-12 21:22:30,26.9333,-101.45,98.33,34,40,8.99
56,Praia,CV,2022-05-12 21:22:31,14.9215,-23.5087,79.34,50,0,19.57
57,Upernavik,GL,2022-05-12 21:16:04,72.7868,-56.1549,17.89,85,10,7.27
58,East London,ZA,2022-05-12 21:22:32,-33.0153,27.9116,64.8,82,0,14.65
59,Ugoofaaru,MV,2022-05-12 21:22:32,5.6667,73.0,83.55,78,100,21.54
60,Hithadhoo,MV,2022-05-12 21:21:19,-0.6,73.0833,83.23,71,100,14.79
61,Chokurdakh,RU,2022-05-12 21:22:33,70.6333,147.9167,26.28,93,100,8.1
62,Srednekolymsk,RU,2022-05-12 21:22:34,67.45,153.6833,33.98,93,7,6.93
63,Kodiak,US,2022-05-12 21:16:19,57.79,-152.4072,51.31,50,40,9.22
64,Kyra,RU,2022-05-12 21:22:35,49.5776,111.9753,33.48,89,97,5.3
65,Hay River,CA,2022-05-12 21:17:37,60.8156,-115.7999,42.78,65,10,10.36
66,Stornoway,GB,2022-05-12 21:22:35,58.2093,-6.3865,48.16,89,75,11.5
67,Bredasdorp,ZA,2022-05-12 21:22:36,-34.5322,20.0403,55.87,66,1,8.55
68,Ilulissat,GL,2022-05-12 21:22:36,69.2167,-51.1,26.62,68,100,10.36
69,Jamestown,US,2022-05-12 21:20:36,42.097,-79.2353,83.84,20,0,0.0
70,Sebezh,RU,2022-05-12 21:22:37,56.2955,28.4654,45.91,83,15,9.84
71,Vila Franca Do Campo,PT,2022-05-12 21:16:13,37.7167,-25.4333,62.2,72,100,7.87
72,Villa Guerrero,MX,2022-05-12 21:22:38,18.8667,-99.65,85.62,17,2,6.49
73,Norman Wells,CA,2022-05-12 21:16:01,65.282,-126.8329,57.24,30,20,5.75
74,Dunedin,NZ,2022-05-12 21:21:56,-45.8742,170.5036,51.8,75,83,4.68
75,Provideniya,RU,2022-05-12 21:15:57,64.3833,-173.3,39.36,81,75,2.24
76,Geraldton,AU,2022-05-12 21:22:39,-28.7667,114.6,54.01,94,75,8.05
77,San Patricio,US,2022-05-12 21:16:11,28.017,-97.5169,91.18,52,0,17.52
78,Manta,EC,2022-05-12 21:22:40,-0.95,-80.7333,80.38,83,100,11.5
79,Aquin,HT,2022-05-12 21:22:40,18.2833,-73.4,82.99,66,87,11.21
80,Mataura,NZ,2022-05-12 21:16:12,-46.1927,168.8643,48.47,86,100,2.62
81,Saint-Georges,GD,2022-05-12 21:22:41,12.0564,-61.7485,83.88,70,20,27.63
82,Iquique,CL,2022-05-12 21:22:42,-20.2208,-70.1431,64.44,72,26,4.09
83,Mount Gambier,AU,2022-05-12 21:22:42,-37.8333,140.7667,56.37,88,100,3.24
84,Burns Lake,CA,2022-05-12 21:22:43,54.2331,-125.7533,49.06,55,100,4.5
85,Ponta Do Sol,PT,2022-05-12 21:22:43,32.6667,-17.1,67.71,81,59,2.3
86,Qaanaaq,GL,2022-05-12 21:22:44,77.484,-69.3632,17.62,74,18,2.48
87,Hovd,MN,2022-05-12 21:22:44,48.0056,91.6419,40.33,24,17,2.35
88,Cheney,US,2022-05-12 21:19:11,47.4874,-117.5758,56.28,48,100,10.36
89,La Ronge,CA,2022-05-12 21:22:45,55.1001,-105.2842,64.62,32,20,12.66
90,Meulaboh,ID,2022-05-12 21:22:46,4.1363,96.1285,77.76,85,99,3.91
